Muestas,Series,Be-mean,y(k),n in box,Box,Slope,y-intercept,Slope,y-intercept,yn(k),[y(k)-yn(k)]^2,,n in box,Log(n),LogF(n),nb of boxes,,,,
173,1.16,0.010,-2.821,3,18,,,-0.005,-1.927,-2.833,1.50E-04,,,,,,,,,
174,1.153,0.003,-2.818,4,18,,,-0.005,-1.927,-2.839,4.41E-04,,,,,,,,,
175,1.15,0.000,-2.817,5,18,,,-0.005,-1.927,-2.844,7.15E-04,,,,,,,,,
176,1.12,-0.030,-2.847,6,18,,,-0.005,-1.927,-2.849,6.08E-06,,,,,,,,,
177,1.147,-0.003,-2.849,7,18,,,-0.005,-1.927,-2.854,2.70E-05,,,,,,,,,
178,1.117,-0.033,-2.882,8,18,,,-0.005,-1.927,-2.860,4.87E-04,,,,,,,,,
179,1.157,0.007,-2.874,9,18,,,-0.005,-1.927,-2.865,8.71E-05,,,,,,,,,
180,1.153,0.003,-2.871,10,18,,,-0.005,-1.927,-2.870,3.60E-07,,,,,,,,,
181,1.147,-0.003,-2.873,1,19,0.007,-4.192,0.007,-4.192,-2.874,5.56E-07,,,,,,,,,
182,1.16,0.010,-2.863,2,19,,,0.007,-4.192,-2.867,1.57E-05,,,,,,,,,
183,1.163,0.013,-2.849,3,19,,,0.007,-4.192,-2.859,1.03E-04,,,,,,,,,
184,1.14,-0.010,-2.859,4,19,,,0.007,-4.192,-2.852,4.38E-05,,,,,,,,,
185,1.15,0.000,-2.858,5,19,,,0.007,-4.192,-2.845,1.80E-04,,,,,,,,,
186,1.17,0.020,-2.838,6,19,,,0.007,-4.192,-2.838,3.76E-08,,,,,,,,,
187,1.153,0.003,-2.834,7,19,,,0.007,-4.192,-2.830,1.59E-05,,,,,,,,,
188,1.163,0.013,-2.821,8,19,,,0.007,-4.192,-2.823,4.97E-06,,,,,,,,,
189,1.16,0.010,-2.810,9,19,,,0.007,-4.192,-2.816,2.96E-05,,,,,,,,,
190,1.153,0.003,-2.807,10,19,,,0.007,-4.192,-2.808,2.74E-06,,,,,,,,,
191,1.13,-0.020,-2.826,1,20,-0.025,2.009,-0.025,2.009,-2.838,1.27E-04,,,,,,,,,
192,1.117,-0.033,-2.859,2,20,,,-0.025,2.009,-2.863,1.72E-05,,,,,,,,,
193,1.12,-0.030,-2.888,3,20,,,-0.025,2.009,-2.888,3.31E-10,,,,,,,,,
194,1.103,-0.047,-2.935,4,20,,,-0.025,2.009,-2.914,4.46E-04,,,,,,,,,
195,1.133,-0.017,-2.951,5,20,,,-0.025,2.009,-2.939,1.50E-04,,,,,,,,,
196,1.14,-0.010,-2.961,6,20,,,-0.025,2.009,-2.964,1.32E-05,,,,,,,,,
197,1.127,-0.023,-2.983,7,20,,,-0.025,2.009,-2.990,4.24E-05,,,,,,,,,
198,1.123,-0.027,-3.010,8,20,,,-0.025,2.009,-3.015,2.90E-05,,,,,,,,,
199,1.127,-0.023,-3.032,9,20,,,-0.025,2.009,-3.041,6.81E-05,,,,,,,,,
200,1.11,-0.040,-3.072,10,20,,,-0.025,2.009,-3.066,3.45E-05,,,,,,,,,
